sold by,publisher.type,genre,avg.review,daily.sales,total.reviews,sale.price
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.19,117.83,146,7.24
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.75,127,169,8.11
Random House LLC,big five,non_fiction,3.52,53.97,81,13.42
Penguin Group (USA) LLC,big five,YA_fiction,4.59,65.53,152,9.64
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.1,70.76,131,8.56
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.64,82.3,171,10.06
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.59,93.97,126,10.73
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.59,84.33,190,6.89
"Amazon Digital Services,  Inc.",indie,non_fiction,4.9,66.54,99,16.72
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.15,110.05,219,9.35
"Amazon Digital Services,  Inc.",single author,YA_fiction,2,91.85,193,4.99
Random House LLC,big five,YA_fiction,4.66,108.22,168,5.58
Penguin Group (USA) LLC,big five,YA_fiction,4.47,107.82,162,5.63
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.75,196.33,212,7.48
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.39,114.47,179,9.51
HarperCollins Publishers,big five,YA_fiction,3.69,135.93,178,4.01
"Amazon Digital Services,  Inc.",single author,non_fiction,3.93,63.47,69,13.92
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.5,66.97,67,15.64
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.6,62.82,98,14.06
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.38,72.42,126,17.81
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.75,90.29,100,13.99
DC Comics,small/medium,non_fiction,4.9,94.9,115,16.64
Random House LLC,big five,adult_fiction,4.7,80.38,151,7.29
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.26,62.98,100,16.21
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.43,127.54999999999998,160,4.92
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.84,92.89,157,5.86
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.47,70.01,123,13.15
Penguin Group (USA) LLC,big five,adult_fiction,4.55,73.39,100,5.77
"Amazon Digital Services,  Inc.",indie,non_fiction,3.48,30.48,103,15.12
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.63,129.77,157,8.36
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.82,83.41,102,8.92
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.85,82.06,137,7.42
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.35,132.67,117,6.82
Random House LLC,big five,non_fiction,4.78,57.25,89,13.3
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.73,125.64,184,6.78
Macmillan,big five,YA_fiction,4.29,53.63,172,6.98
HarperCollins Publishers,big five,non_fiction,4.79,48.5,68,14.84
Penguin Group (USA) LLC,big five,non_fiction,4.7,64.24,129,12.74
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.48,94.36,202,10.56
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.35,107.74,193,4.01
"Amazon Digital Services,  Inc.",amazon,adult_fiction,4.14,92.3,149,10.58
Penguin Group (USA) LLC,big five,YA_fiction,4.77,115.16,175,8.72
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.58,107.49,128,8.47
Hachette Book Group,big five,non_fiction,4.48,59.44,91,13.66
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.3,69.3,107,16.79
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.17,85.06,131,7.56
Penguin Group (USA) LLC,big five,non_fiction,4.57,66,113,15.25
Simon and Schuster Digital Sales Inc,big five,YA_fiction,4.42,97.87,195,7.25
Random House LLC,big five,non_fiction,4.53,82.45,116,13.83
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.81,85.3,137,8.3
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.38,64.03,149,13.2
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.06,27.6,79,12.4
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.72,77.73,49,13.87
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.49,91.79,133,9.53
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.6,65.55,136,15.71
"Amazon Digital Services,  Inc.",indie,non_fiction,4.42,38.47,84,12.84
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.61,35.44,87,17.86
Random House LLC,big five,adult_fiction,2.48,75.49,107,9.7
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.59,149.62,195,6.57
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.1,93.8,104,6.92
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.56,114.94,162,10.09
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.92,82.85,112,5.41
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.66,61.21,96,5.92
Random House LLC,big five,YA_fiction,4.86,89.97,158,11.74
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.54,91.05,197,13.15
"Amazon Digital Services,  Inc.",single author,non_fiction,3.72,70.19,97,16.71
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.3,74.46,131,11.61
Penguin Group (USA) LLC,big five,YA_fiction,3.9,65.4,186,8.75
"Amazon Digital Services,  Inc.",indie,YA_fiction,1.5,161.48,207,3.77
Random House LLC,big five,non_fiction,4.78,77.76,95,14.74
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.63,130.04,164,8.1
Hachette Book Group,big five,adult_fiction,3.75,51.08,117,5.36
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.47,125.62,195,7.41
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.45,144.1,192,10.06
Macmillan,big five,adult_fiction,4.5,107.63,128,8.35
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.05,92.03,166,10.13
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.6,126.8,148,7.66
"Amazon Digital Services,  Inc.",single author,non_fiction,3.5,67.04,102,15.77
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.17,66.28,102,14.98
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.76,93.3,142,7.58
Simon and Schuster Digital Sales Inc,big five,adult_fiction,4.59,90.94,67,10.85
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.02,72.3,99,17.45
Macmillan,big five,YA_fiction,4.7,114.95,176,5.86
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.3,77.62,117,15.1
Penguin Group (USA) LLC,big five,YA_fiction,3.72,138.84,184,5.72
Simon and Schuster Digital Sales Inc,big five,non_fiction,3.77,73.64,100,13.37
Random House LLC,big five,adult_fiction,4.36,86.85,108,3.93
Random House LLC,big five,YA_fiction,4.64,100.24,178,5.29
"Amazon Digital Services,  Inc.",indie,non_fiction,4.67,83.86,132,16.28
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.7,119.62,205,9.1
Simon and Schuster Digital Sales Inc,big five,adult_fiction,2.48,127.79999999999998,137,8.52
"Amazon Digital Services,  Inc.",single author,non_fiction,3.98,97.92,128,16.45
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.29,88.75,130,6.79
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.57,45.68,114,18.59
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.69,107.06,190,8.25
Penguin Group (USA) LLC,big five,non_fiction,4.8,87.65,110,18.53
DC Comics,small/medium,YA_fiction,2,108.44,200,7.69
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.78,81.54,139,16.93
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.24,56.81,92,6.09
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.48,104.05,169,11.28
"Amazon Digital Services,  Inc.",single author,non_fiction,4.45,38.85,66,12.52
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.5,83.84,155,8.59
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.8,95.5,161,8.83
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.5,60.13,67,13.77
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.74,98.47,141,8.71
"Amazon Digital Services,  Inc.",single author,non_fiction,4.74,79.72,137,16.59
HarperCollins Publishers,big five,YA_fiction,4.02,85.52,170,6.42
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.15,55.96,147,10.31
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.11,67.76,113,6.92
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.71,111.22,134,9.06
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.38,128.66,188,7.85
Random House LLC,big five,YA_fiction,4.05,103.89,169,9.31
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.73,107.35,164,9.61
Penguin Group (USA) LLC,big five,non_fiction,3.5,62.7,111,14.67
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.79,82.83,153,6.25
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.57,74.65,103,6.13
"Amazon Digital Services,  Inc.",single author,non_fiction,4.22,55.13,109,15.75
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.5,95.27,151,10.8
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.17,83.54,111,17.39
"Amazon Digital Services,  Inc.",indie,non_fiction,3.96,89.52,114,14.26
Simon and Schuster Digital Sales Inc,big five,YA_fiction,4.15,134.36,198,9.77
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.15,70.11,60,16.2
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.23,106.71,176,7.52
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.51,95.81,180,9.06
Penguin Group (USA) LLC,big five,non_fiction,4.79,70.22,96,18.39
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.85,91.1,158,10.55
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.3,54.92,118,5.96
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.63,102.79,179,7.64
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.28,101.05,142,6.96
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.48,162.81,197,9.95
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.71,64.09,126,6.3
"Amazon Digital Services,  Inc.",amazon,non_fiction,3.98,64.44,105,12.95
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.4,60.88,118,18.2
"Amazon Digital Services,  Inc.",small/medium,non_fiction,2.48,55.22,108,18.95
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.75,95.4,126,6.78
"Amazon Digital Services,  Inc.",single author,adult_fiction,3.58,102.04,110,13.08
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.03,101.59,168,7.78
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.75,59.79,159,10.18
Penguin Group (USA) LLC,big five,adult_fiction,2.02,78.35,137,11.95
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.29,58.04,131,8.36
Random House LLC,big five,non_fiction,4.9,75.19,78,15.22
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.29,102.49,164,9.86
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.48,51.64,138,16.23
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.39,77.43,157,8.32
"Amazon Digital Services,  Inc.",single author,YA_fiction,3.5,124.94,141,7.7
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.5,72.99,121,9.44
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.66,61.07,165,7.78
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,3.99,129.89,173,9.13
HarperCollins Publishers,big five,YA_fiction,4.89,180.07,184,5.9
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,2.4,91.33,114,7.94
"Amazon Digital Services,  Inc.",indie,YA_fiction,3.5,177.97,186,8.88
"Amazon Digital Services,  Inc.",single author,non_fiction,3.8,73.78,107,11.33
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.45,52.24,130,6.76
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.49,77.4,110,13.27
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.01,55.28,110,6.48
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.33,79.15,100,6.3
Hachette Book Group,big five,YA_fiction,4.76,142.04,185,6.03
Random House LLC,big five,YA_fiction,4.24,121.26,146,5.97
Macmillan,big five,non_fiction,4.59,43.43,88,11.21
"Amazon Digital Services,  Inc.",single author,non_fiction,4.63,55.78,118,12.54
Macmillan,big five,adult_fiction,3.2,131.38,119,5.59
Penguin Group (USA) LLC,big five,YA_fiction,4.13,119.98,170,8.72
Hachette Book Group,big five,adult_fiction,4.42,91.35,121,5.2
Hachette Book Group,big five,YA_fiction,4.46,138.03,188,8.98
Macmillan,big five,non_fiction,4.13,88.11,123,14.56
Penguin Group (USA) LLC,big five,non_fiction,4.56,74.23,77,12.94
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.63,106,101,13.94
"Amazon Digital Services,  Inc.",indie,YA_fiction,3.97,158.88,208,8.31
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.5,124.15,121,8.84
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.74,76.46,97,9.97
Macmillan,big five,YA_fiction,4.68,124.59,146,9.05
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.3,132.96,182,12.54
Penguin Group (USA) LLC,big five,YA_fiction,3.83,140.08,175,9.21
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.25,117.28,236,7.88
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.47,85.77,126,8.18
Hachette Book Group,big five,adult_fiction,4.08,70.01,146,8.8
"Amazon Digital Services,  Inc.",single author,non_fiction,4.33,60.55,85,18.19
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.87,72.92,109,14.48
"Amazon Digital Services,  Inc.",single author,non_fiction,3.89,52.25,97,14.2
Random House LLC,big five,adult_fiction,4.64,66.46,132,11.13
Hachette Book Group,big five,YA_fiction,4.47,79.92,175,9.58
Hachette Book Group,big five,YA_fiction,4.07,124.43,171,8.18
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.5,44.1,94,5
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.14,81.46,186,6.69
Macmillan,big five,YA_fiction,4.5,116.25,157,4.84
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.81,118.55,109,6.44
"Amazon Digital Services,  Inc.",amazon,non_fiction,4.7,47.15,54,12.88
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.16,56.56,129,5.23
"Amazon Digital Services,  Inc.",indie,adult_fiction,3.8,95.03,121,7.95
Random House LLC,big five,non_fiction,4.59,96.56,112,15.47
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.57,52.79,91,14.96
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.53,58.81,153,10.71
"Amazon Digital Services,  Inc.",indie,non_fiction,4.3,50.17,57,17.71
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.42,98.33,121,10.84
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.63,74.48,78,18.41
Penguin Group (USA) LLC,big five,adult_fiction,4.12,61.13,86,9.8
"Amazon Digital Services,  Inc.",indie,YA_fiction,3.58,126.37,164,6.04
HarperCollins Publishers,big five,non_fiction,4.56,66.38,97,14.34
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.49,80.15,82,13.33
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.32,97.39,103,8.09
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.71,136.61,184,4.83
"Amazon Digital Services,  Inc.",single author,adult_fiction,3.88,67.03,115,6.33
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,3.52,124.4,145,8.24
"Amazon Digital Services,  Inc.",amazon,adult_fiction,4.72,90.44,169,6.3
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.4,74.01,147,11.79
Penguin Group (USA) LLC,big five,non_fiction,4.12,36.1,65,15.21
Random House LLC,big five,adult_fiction,4.44,93.33,109,7.12
"Amazon Digital Services,  Inc.",indie,non_fiction,4.6,58.99,133,14.55
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.87,135.36,166,8.25
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.46,94.52,131,15.6
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.53,97.52,141,9.77
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.46,101.62,119,10.85
HarperCollins Publishers,big five,YA_fiction,4.03,154.41,234,6.3
"Amazon Digital Services,  Inc.",indie,non_fiction,4.18,79.89,97,16.7
Random House LLC,big five,non_fiction,4.43,78.97,107,13.55
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.97,48.38,94,15.97
Random House LLC,big five,YA_fiction,4.52,69.01,167,9.82
Random House LLC,big five,non_fiction,4.51,76.84,120,12.78
Simon and Schuster Digital Sales Inc,big five,non_fiction,4.77,64.19,94,15.49
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.02,64.18,78,13.34
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.33,117.91,181,7.23
Random House LLC,big five,non_fiction,4.29,81.59,120,14.57
"Amazon Digital Services,  Inc.",single author,non_fiction,4.75,65.76,124,17.1
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,2.94,127.50999999999999,136,3.73
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.56,78.75,174,8.13
"Amazon Digital Services,  Inc.",single author,non_fiction,2.5,49.32,103,14.06
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.28,83.06,119,14.53
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.56,83.87,92,11.2
Penguin Group (USA) LLC,big five,YA_fiction,4.6,159.78,204,8.09
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.65,31.489999999999995,88,14.63
"Amazon Digital Services,  Inc.",single author,adult_fiction,3.84,68.8,98,7.12
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.63,66.72,95,8.58
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.71,69.6,124,4.92
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.97,78.13,107,16.08
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.12,115.2,145,9.68
Penguin Group (USA) LLC,big five,adult_fiction,4.35,94.94,145,8.29
Macmillan,big five,adult_fiction,3.81,70.18,132,8.35
HarperCollins Publishers,big five,adult_fiction,4.39,90.8,119,9.26
HarperCollins Publishers,big five,YA_fiction,4.56,90.07,188,12.95
Random House LLC,big five,non_fiction,3.98,81.35,112,16.54
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.84,91.18,197,9.97
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.59,112.75,193,8.75
"Amazon Digital Services,  Inc.",indie,non_fiction,4.1,65.96,104,15.59
Simon and Schuster Digital Sales Inc,big five,non_fiction,4.54,101.3,124,19.92
"Amazon Digital Services,  Inc.",single author,non_fiction,4.98,77.12,144,13.49
"Amazon Digital Services,  Inc.",single author,YA_fiction,3.5,110.9,166,7.66
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.75,87.79,122,7.55
Random House LLC,big five,adult_fiction,4.38,115.81,113,4.54
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.29,118.87,185,6.36
Macmillan,big five,YA_fiction,4.85,106.04,137,5.41
HarperCollins Publishers,big five,adult_fiction,4.98,83.14,120,4.94
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.92,69.03,156,9.91
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.4,52.65,97,13.05
Random House LLC,big five,adult_fiction,4.14,111.42,150,7.02
"Amazon Digital Services,  Inc.",single author,non_fiction,4.62,74.2,98,17.67
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.85,86.98,123,8.44
DC Comics,small/medium,YA_fiction,4.5,113.69,155,5.84
Random House LLC,big five,adult_fiction,4.3,109.09,121,8.89
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.04,105.59,159,6.32
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.59,22.75,160,8.83
"Amazon Digital Services,  Inc.",amazon,YA_fiction,4.98,101.7,164,12.33
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.4,60.16,118,11.67
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.73,61.69,112,15.05
Hachette Book Group,big five,YA_fiction,4.27,83.81,183,10.06
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.77,78.5,149,14.58
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.62,92.09,165,10.13
"Amazon Digital Services,  Inc.",single author,non_fiction,4.47,46.9,79,14.24
"Amazon Digital Services,  Inc.",amazon,adult_fiction,4.46,78.31,137,7.61
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.09,118.09,132,9.37
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.45,83.02,187,9.88
Macmillan,big five,YA_fiction,4.79,86.92,193,8.52
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.23,39.25,95,16.06
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.38,143.49,195,7.73
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.75,41.51,54,15.35
"Amazon Digital Services,  Inc.",single author,YA_fiction,3.9,96.69,167,7.57
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.1,108.08,182,10.09
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.57,77.83,120,7.16
"Amazon Digital Services,  Inc.",indie,non_fiction,3.9,61.64,112,13.42
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.45,70.28,130,7.95
Random House LLC,big five,YA_fiction,4.51,120.55,190,7.54
Simon and Schuster Digital Sales Inc,big five,adult_fiction,4.25,86.26,78,9.68
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.43,128.75,159,7.24
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.41,92.08,192,7.46
Cengage Learning,small/medium,adult_fiction,3.98,85.34,129,10.38
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.54,95.66,155,5.88
"Amazon Digital Services,  Inc.",indie,non_fiction,4.46,101.75,136,13.64
"Amazon Digital Services,  Inc.",indie,non_fiction,4.16,54.67,96,13.66
"Amazon Digital Services,  Inc.",single author,non_fiction,4.69,79.12,96,17.62
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.5,114.44,102,5.52
Simon and Schuster Digital Sales Inc,big five,non_fiction,4.23,63.959999999999994,110,13.9
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.66,46.03,94,15.04
"Amazon Digital Services,  Inc.",indie,YA_fiction,1.02,68.77,171,10.33
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.5,110.13,165,6.08
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3,80.27,142,7.73
Penguin Group (USA) LLC,big five,non_fiction,4.4,73.03,100,16.49
"Amazon Digital Services,  Inc.",indie,adult_fiction,2,94.71,135,4.14
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.62,70.35,89,13.72
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.5,127.34,165,9.89
Random House LLC,big five,adult_fiction,4.44,97.31,132,7.17
"Amazon Digital Services,  Inc.",indie,YA_fiction,3.75,140.91,172,8.72
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.64,103.57,201,5.99
"Amazon Digital Services,  Inc.",indie,non_fiction,4.5,45.24,59,19.55
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.6,98.99,126,4.6
Hachette Book Group,big five,YA_fiction,4.04,133.76,156,5.06
"Amazon Digital Services,  Inc.",indie,non_fiction,4.93,60.6,93,15.81
"Amazon Digital Services,  Inc.",indie,non_fiction,4.23,69.22,89,14.72
Macmillan,big five,YA_fiction,3.94,93.16,166,9.75
Macmillan,big five,non_fiction,4.46,59.68,104,15.83
HarperCollins Publishers,big five,non_fiction,4.42,69.23,131,12.27
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,2.41,135.61,186,7.9
Idea & Design Works,small/medium,non_fiction,4.02,45.04,78,13.46
Random House LLC,big five,YA_fiction,3.87,143.41,183,9.26
"Amazon Digital Services,  Inc.",indie,non_fiction,4.02,49.64,99,21.68
Macmillan,big five,YA_fiction,4.43,134.19,192,12.23
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.35,114.54,157,8.31
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.25,65.91,151,9.1
Random House LLC,big five,adult_fiction,4.5,47.94,106,8.94
HarperCollins Publishers,big five,non_fiction,4.53,77.06,146,19.25
Simon and Schuster Digital Sales Inc,big five,non_fiction,4.31,69.19,87,13.64
HarperCollins Publishers,big five,non_fiction,4.9,61.98,115,14.86
Hachette Book Group,big five,non_fiction,3.82,73.07,99,14.27
Macmillan,big five,adult_fiction,4.8,60.03,79,6.34
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,3.48,73.77,187,2.37
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.27,72.57,142,11.21
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.34,87.16,100,15.03
Penguin Group (USA) LLC,big five,non_fiction,4.77,54.21,90,15.05
HarperCollins Publishers,big five,adult_fiction,3.88,35.64,88,10.44
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.34,72.48,103,16.35
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.42,87.82,94,8.15
"Amazon Digital Services,  Inc.",single author,non_fiction,4.61,73.22,105,14.92
"Amazon Digital Services,  Inc.",indie,non_fiction,4.81,60.85,99,12.96
"Amazon Digital Services,  Inc.",single author,non_fiction,3.5,58.3,92,16.81
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.13,69.83,132,7.21
Macmillan,big five,adult_fiction,4.35,66.84,100,8.37
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.5,155.67,203,8.63
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.47,146.4,145,9.72
HarperCollins Publishers,big five,YA_fiction,4.64,109.16,191,5.93
"Amazon Digital Services,  Inc.",indie,adult_fiction,3.74,100.78,150,7.07
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.23,60.46,99,10.83
Penguin Group (USA) LLC,big five,adult_fiction,4.27,108.95,158,8.01
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.28,134.91,175,7.28
Macmillan,big five,YA_fiction,4.68,106.46,164,9.98
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.17,62.65,105,16.86
"Amazon Digital Services,  Inc.",single author,non_fiction,4.33,50.66,117,13.45
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.58,60.39,65,16.55
HarperCollins Publishers,big five,adult_fiction,3.61,52.31,127,8.58
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.07,87.92,145,8.8
Simon and Schuster Digital Sales Inc,big five,YA_fiction,3.77,118.51,138,8.37
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.5,66.97,88,15.12
Penguin Group (USA) LLC,big five,YA_fiction,4.75,83,158,7.41
Random House LLC,big five,YA_fiction,4.47,91.15,192,9.91
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.74,53.71,127,17.45
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.36,85.92,140,7.31
HarperCollins Publishers,big five,YA_fiction,3.5,125.09,200,5.16
"Amazon Digital Services,  Inc.",indie,non_fiction,4.23,69.09,134,14.77
